name,parent,value,description,material,function
斗拱,,0,中国传统建筑特有的构件体系,,
斗类,斗拱,0,方形木块起承托和传递荷载作用,,
栌斗,斗类,1,坐于柱头的大方斗是斗拱的底座,楠木,承重基座
交互斗,斗类,2,位于拱件交叉处连接上下层构件,松木,连接传递
齐心斗,斗类,1,位于拱心位置承托上层构件,松木,对心承托
散斗,斗类,3,分布于拱身承托横拱,松木,分散承重
拱类,斗拱,0,弓形短木横向或纵向伸出,,
华拱,拱类,3,前后方向挑出的拱是主要承重构件,松木,前后悬挑
泥道拱,拱类,2,第一层横向拱位于栌斗之上,松木,横向承托
令拱,拱类,2,最上层横向拱承托撩檐枋,松木,承托屋檐
瓜子拱,拱类,2,中间层横向拱连接华拱,松木,中间连接
慢拱,拱类,1,位于瓜子拱之上较长,松木,延伸承托
昂类,斗拱,0,斜向伸出的构件起杠杆作用,,
下昂,昂类,2,斜向下方伸出前端承托屋檐,柏木,杠杆传力
上昂,昂类,1,斜向上方支撑较少使用,柏木,向上支撑
枋类,斗拱,0,水平横木连接各构件,,
柱头枋,枋类,1,位于柱头位置的水平枋木,楠木,连接柱头
撩檐枋,枋类,1,承托屋檐的水平枋木,楠木,承托屋檐
罗汉枋,枋类,1,位于中间层的水平枋木,松木,中间连接
