year,era,eraGroup,event,title,description,importance,category
1406,明,明代,明成祖下诏建宫,迁都北京·始建紫禁城,明成祖朱棣下诏迁都北京命建北京宫殿征调全国能工巧匠,5,建造
1420,明,明代,紫禁城建成,紫禁城落成·明朝迁都,历时14年紫禁城建成占地面积72万平方米房屋9999间半,5,建成
1421,明,明代,奉天殿火灾,三大殿焚毁,建成仅一年奉天殿华盖殿谨身殿遭雷击焚毁,4,灾害
1557,明,明代,三大殿再次火灾,嘉靖年间大修,嘉靖三十六年三大殿再次因雷击焚毁,4,灾害
1644,清,清代,清军入关,明朝灭亡·清朝接管,李自成攻入北京明朝灭亡随后清军入关紫禁城易主,5,政权更迭
1669,清,清代,康熙重修太和殿,康熙年间最大规模修缮,康熙帝下令重修太和殿历时两年完成,5,修缮
1695,清,清代,太和殿重建完成,今日所见太和殿落成,今日我们所见的太和殿基本是康熙年间重建的面貌,5,建成
1735,清,清代,雍正迁居养心殿,皇帝寝宫变迁,雍正帝将皇帝寝宫从乾清宫迁至养心殿,4,改建
1860,清,清代,英法联军入侵北京,第二次鸦片战争,英法联军攻入北京圆明园被焚毁,5,战争
1900,清,清代,八国联军入侵,庚子国变,八国联军攻入北京紫禁城被占领,5,战争
1912,民国,近现代,溥仪退位,清朝灭亡·民国建立,末代皇帝溥仪退位清朝灭亡,5,政权更迭
1925,民国,近现代,故宫博物院成立,故宫博物院正式开院,10月10日故宫博物院正式成立并对公众开放,5,开放
1933,民国,近现代,文物南迁,国宝大迁徙,为躲避日本侵略故宫文物开始南迁共13427箱文物,5,保护
1949,新中国,近现代,新中国接管故宫,故宫新生,中华人民共和国成立故宫博物院由人民政府接管,5,接管
1961,新中国,近现代,列入重点文物保护单位,首批全国重点文物保护单位,故宫被列入第一批全国重点文物保护单位,5,保护
1987,新中国,近现代,列入世界遗产,联合国教科文组织认证,故宫被列入世界文化遗产名录,5,荣誉
2020,新中国,近现代,建成600周年,紫禁城六百年,紫禁城建成600周年举办大型庆祝活动,5,纪念
